,train_netrmse,test_rmse,test_mape,train_rmse,val_rmse,train_mape,val_mape,train_diff,val_diff,DropoutProp,activationFunction,batchSize,epochSize,exec_time,hiddenLayers,hiddenNodes,l1Penalty,learningRate,loss,optimizer,standardizationType,status,timeWindow,useHoliday,useWeekday,weightInit
1918,0.112428941469,14883.0316018,0.176448055328,8106.28288313,11640.0217811,0.0766239143728,0.106362423557,0.00521826505864,-0.0268587624483,0.00902053505739,sigmoid,36,31,96.9845860004,1,185,8.3824107032e-08,0.00534856721498,11640.0217811,adam,zscore,ok,40,True,True,glorot_uniform
10525,0.117969955961,14862.3892794,0.174501243917,8173.59883571,11640.2058989,0.0773970825398,0.104057373656,-0.00316824687747,-0.0327167823481,0.0184996757864,sigmoid,31,29,145.939146996,1,300,1.84437305707e-08,0.00198204388923,11640.2058989,adam,zscore,ok,44,False,True,normal
2030,0.114766636,14919.6770273,0.178016422861,8015.52203874,11640.3589144,0.0768897344005,0.106103844852,-0.00788672388954,-0.0365434701259,0.0103705652638,sigmoid,39,35,132.500529051,1,195,5.35882112518e-08,0.00351600358459,11640.3589144,adam,zscore,ok,57,True,True,glorot_uniform
7750,0.115945309143,14926.0830771,0.175386563183,7971.11560861,11640.3904987,0.0750980187505,0.105060824786,-0.00572902730515,-0.0355031800061,0.011827116309,sigmoid,31,30,147.773543119,1,295,7.63633010789e-08,0.00215621032801,11640.3904987,adam,zscore,ok,46,False,True,normal
7123,0.128589783931,15017.1236211,0.177354621544,8633.37573207,11640.5222428,0.0813205145458,0.105047797489,0.0025485482507,-0.0322036674118,0.0146521690235,sigmoid,33,30,149.748991966,1,290,9.37373483849e-08,0.00123610151041,11640.5222428,adam,zscore,ok,45,False,True,normal
1819,0.111611944466,14895.0861782,0.176814615432,7942.73033714,11640.8963877,0.0760153101352,0.105702283796,0.00138686395731,-0.0305360784779,0.00957739328031,sigmoid,98,35,633.869225025,1,210,1.60785404797e-08,0.00505305530183,11640.8963877,adam,zscore,ok,306,True,True,glorot_uniform
6909,0.121384015519,15094.8706877,0.177337570343,8196.02197683,11641.0888559,0.0769697841298,0.104954705794,-0.00396960381866,-0.0351783832306,0.0103957276803,sigmoid,34,31,156.825870991,1,295,1.14772744394e-07,0.00179894214841,11641.0888559,adam,zscore,ok,50,False,True,normal
10210,0.113122692892,14917.364078,0.178183346577,7967.32407468,11641.3598244,0.0765821914503,0.107429285224,-0.00123715274157,-0.0273153449605,0.0141448660829,sigmoid,29,30,152.447691202,1,300,3.80605608021e-08,0.00385711834878,11641.3598244,adam,zscore,ok,47,False,True,normal
5929,0.114586772715,14850.5331195,0.175825022846,7677.13800292,11641.7320778,0.0738553119819,0.105797195375,-0.00435709033366,-0.0334338729421,0.00974959280263,sigmoid,36,31,124.809398174,1,275,1.92026626669e-07,0.00498178996588,11641.7320778,adam,zscore,ok,40,True,True,normal
9757,0.11826473685,15027.3532617,0.175059687788,8093.13353266,11642.0139154,0.0767552633051,0.104442853996,-0.00287726197622,-0.0327344135297,0.0158260145276,sigmoid,34,31,175.830129862,1,300,5.19692514507e-08,0.00222370534775,11642.0139154,adam,zscore,ok,30,False,True,normal
9987,0.118725779852,14811.7674452,0.172992362966,8280.6021103,11642.0653409,0.0784398005047,0.104480103324,-0.00288274951065,-0.031455286115,0.0114357956926,sigmoid,36,29,147.841380119,1,285,6.13834724525e-08,0.00251509750001,11642.0653409,adam,zscore,ok,49,False,True,normal
8524,0.124339851096,14892.7343083,0.175760661173,8414.66024136,11642.1696317,0.079108028424,0.105542609319,-0.00382662166896,-0.0345669248406,0.0163366585142,sigmoid,35,30,148.199194908,1,295,1.05907072418e-07,0.00175590235063,11642.1696317,adam,zscore,ok,35,False,True,normal
8961,0.113689587701,14812.8515738,0.173593064658,8042.39593337,11642.2483571,0.0763981455777,0.104379103275,-0.00209640125664,-0.0298995629548,0.0159946411369,sigmoid,34,29,163.386155128,1,300,3.60901081221e-08,0.00282165463455,11642.2483571,adam,zscore,ok,46,False,True,normal
7031,0.114869922036,14886.6267956,0.174492381132,8049.32485051,11642.2756049,0.0758145690307,0.104094032676,-0.000691721621381,-0.0311285828117,0.00917159322123,sigmoid,27,29,239.007912159,1,300,6.61458225821e-08,0.00233203192253,11642.2756049,adam,zscore,ok,59,False,True,normal
10424,0.112287991021,14926.6046692,0.175029938582,7888.1480121,11642.3492878,0.074348714229,0.105203977283,-0.00584090537643,-0.0353994951831,0.00851043328731,sigmoid,36,30,128.527945995,1,295,3.48137992305e-08,0.00282881519066,11642.3492878,adam,zscore,ok,38,False,True,normal
1696,0.128150560719,14813.4467442,0.176824580882,8620.88720066,11642.4719703,0.08203749892,0.106538259547,0.00319384761602,-0.0297773300047,0.0191005808708,sigmoid,94,28,120.838821888,1,230,1.68766748682e-08,0.00280977749757,11642.4719703,adam,zscore,ok,36,True,True,glorot_uniform
1519,0.115823101207,14793.8700954,0.175406766846,8354.52609108,11642.4752108,0.0784386908749,0.105812106963,-0.00896505270353,-0.0350916395109,0.0116770169132,sigmoid,78,35,126.757797003,1,145,3.33914268269e-08,0.00612014422247,11642.4752108,adam,zscore,ok,57,True,True,normal
5668,0.111228839995,14797.1871457,0.174539139668,7929.95638148,11642.4763264,0.0755946345437,0.104930320872,-0.00110028632492,-0.0304961684326,0.0136614158971,sigmoid,50,31,292.84534502,1,290,3.22577859732e-08,0.00411440244779,11642.4763264,adam,zscore,ok,84,False,True,normal
2339,0.131586512112,14974.4272794,0.177922557216,8739.69849555,11642.5488575,0.0833782215497,0.106402598736,0.00279454427128,-0.0295596795919,0.0135739367328,sigmoid,44,31,145.603565931,1,260,6.98973170507e-08,0.00120008284184,11642.5488575,adam,zscore,ok,53,True,True,normal
7714,0.120845550444,15014.5770351,0.177575159508,8232.20533509,11642.5833554,0.0771487185474,0.105073172876,-0.00220133941764,-0.0336545934058,0.0196511874964,sigmoid,32,31,128.191067934,1,295,7.68317278504e-08,0.00180637032925,11642.5833554,adam,zscore,ok,35,False,True,normal
8898,0.117798256695,14964.8067989,0.176137668928,7915.41567307,11642.6794045,0.0751858610354,0.105288347778,-0.00330045321841,-0.0332688734547,0.0222245470138,sigmoid,34,30,133.133740902,1,285,4.53778185117e-08,0.00321374548858,11642.6794045,adam,zscore,ok,38,False,True,normal
9110,0.120728412598,14846.5555505,0.174398199259,8316.76417478,11642.7821464,0.0789844425469,0.104172161157,-0.00147721050075,-0.0320705049634,0.0146814582339,sigmoid,31,29,149.398427963,1,285,3.7659504465e-08,0.00184469392236,11642.7821464,adam,zscore,ok,42,False,True,normal
6053,0.128403421359,14945.3598532,0.175949289025,8447.3257343,11642.8984953,0.0795473533382,0.104781439317,0.00311883683132,-0.0307334653354,0.00458393173613,sigmoid,41,32,227.416944981,1,270,2.89766722435e-07,0.0017760721645,11642.8984953,adam,zscore,ok,85,True,True,normal
2378,0.112849675967,14770.674293,0.175322684611,7511.11254427,11642.9463039,0.0722079024508,0.1061894193,-0.00401011291201,-0.0320652539318,0.00143272233574,sigmoid,25,34,234.357625961,1,255,2.64626210195e-07,0.00371447041983,11642.9463039,adam,zscore,ok,44,True,True,normal
9481,0.113709329044,14663.6116319,0.175071454578,8106.43722645,11642.9780809,0.0770718051712,0.105147411844,0.00182721823469,-0.0293018699428,0.0147799066943,sigmoid,32,31,161.266763926,1,295,2.10811392562e-08,0.00247275853147,11642.9780809,adam,zscore,ok,50,False,True,normal
8337,0.119431820372,15108.5664166,0.177895070672,8171.32111297,11643.0359092,0.0768840572272,0.105343265953,-0.00568614107238,-0.0365227636089,0.0176069572821,sigmoid,38,31,238.945027113,1,295,4.29910247568e-08,0.00195482674525,11643.0359092,adam,zscore,ok,56,False,True,normal
5086,0.111687435307,14904.0139651,0.175029343521,7924.00153126,11643.1119431,0.0749695998821,0.10480606902,-0.00463155498318,-0.0331892848619,0.00641940662426,sigmoid,40,31,189.986219168,1,240,7.56958959213e-08,0.00335357474851,11643.1119431,adam,zscore,ok,53,True,True,normal
7697,0.113173089437,14922.2834945,0.174470880234,7871.28118632,11643.1212312,0.0748723420818,0.104458546709,-0.00320309164012,-0.0319740183545,0.013371570785,sigmoid,32,31,177.469288111,1,300,4.74533515008e-08,0.00270742102541,11643.1212312,adam,zscore,ok,31,False,True,normal
7824,0.126828493142,14951.7005279,0.174893191381,8481.97746577,11643.1253856,0.0799256168906,0.104510800222,-0.00151960747657,-0.0338131116275,0.0126276837746,sigmoid,36,29,152.185641766,1,300,7.87938088075e-08,0.00151110725777,11643.1253856,adam,zscore,ok,53,False,True,normal
9013,0.115597165924,14844.6131848,0.175921186256,7920.79151141,11643.1556242,0.074896080336,0.105414304666,-0.00450523229567,-0.0325537073949,0.0187816000588,sigmoid,31,29,143.095080853,1,295,7.79345394433e-08,0.00278130912117,11643.1556242,adam,zscore,ok,41,False,True,normal
