,DropoutProp,activationFunction,batchSize,earlyStopping,epochSize,exec_time,hiddenLayers,hiddenNodes,indexID,l1Penalty,learningRate,noFillZero,optimizer,standardizationType,stationIDs,test_mape,test_rmse,timeWindow,train_mape,train_rmse,useHoliday,useWeekday,val_mape,val_rmse,weightInit
55,0.001,relu,1,True,15,1401.94201303,2,58,55,1e-06,0.001,True,adam,zscore,13,0.190467377452,16036.2340411,168,0.0939607172293,10090.1440793,True,True,0.120290737076,13498.6682406,lecun_uniform
1075,0.001,relu,1,True,15,1205.48673296,2,80,1075,1e-06,0.001,True,adam,zscore,13,0.188699224453,15888.6240522,112,0.0946876280068,10189.9298979,True,True,0.120412510553,13503.7606093,lecun_uniform
22,0.001,relu,1,True,15,904.571495056,2,25,22,1e-06,0.001,True,adam,zscore,13,0.190514487614,16150.4273158,168,0.0987965279462,10736.4126552,True,True,0.120875573795,13509.4835299,lecun_uniform
320,0.001,relu,1,True,15,4165.97565818,2,323,320,1e-06,0.001,True,adam,zscore,13,0.186102295893,15686.5985235,168,0.0987861694271,10846.7739773,True,True,0.121092262973,13511.9184233,lecun_uniform
975,0.001,relu,1,True,15,357.268839836,2,80,975,1e-06,0.001,True,adam,zscore,13,0.188109856636,16169.4576352,12,0.0925737362983,10158.0142322,True,True,0.118379738171,13513.1792526,lecun_uniform
309,0.001,relu,1,True,15,3971.29980993,2,312,309,1e-06,0.001,True,adam,zscore,13,0.187471644579,16086.3747079,168,0.0938068161547,10147.0790474,True,True,0.120039921734,13514.2572402,lecun_uniform
66,0.001,relu,1,True,15,1060.21677613,2,69,66,1e-06,0.001,True,adam,zscore,13,0.186379470688,15559.4220144,168,0.094811419388,10353.3831853,True,True,0.119706658905,13515.8084907,lecun_uniform
1313,0.001,relu,15,True,15,309.167737007,2,80,1313,1e-06,0.001,True,adam,zscore,13,0.194214255142,15855.1350012,168,0.101426571029,10531.167728,True,True,0.125137230869,13517.6886491,lecun_uniform
1078,0.001,relu,1,True,15,794.10897994,2,80,1078,1e-06,0.001,True,adam,zscore,13,0.188052287299,15798.264794,115,0.0979961619535,10597.4208601,True,True,0.122019054422,13520.3531036,lecun_uniform
1012,0.001,relu,1,True,15,562.693295956,2,80,1012,1e-06,0.001,True,adam,zscore,13,0.187290467899,16051.0096826,49,0.0909291809323,9848.44263825,True,True,0.118497093553,13520.5820906,lecun_uniform
39,0.001,relu,1,True,15,915.248118877,2,42,39,1e-06,0.001,True,adam,zscore,13,0.18839361022,15831.8494474,168,0.0945895515483,10214.9627369,True,True,0.121173561792,13522.4259581,lecun_uniform
1307,0.001,relu,9,True,15,273.430747986,2,80,1307,1e-06,0.001,True,adam,zscore,13,0.192593304961,15836.7197542,168,0.097967104369,10294.9883698,True,True,0.12345176679,13524.4869487,lecun_uniform
27,0.001,relu,1,True,15,972.28491807,2,30,27,1e-06,0.001,True,adam,zscore,13,0.185744137866,15966.0779696,168,0.0935863148618,10122.3366714,True,True,0.11957800832,13525.0410644,lecun_uniform
12,0.001,relu,1,True,15,786.161724091,2,15,12,1e-06,0.001,True,adam,zscore,13,0.192570646295,16075.4920859,168,0.102255552654,10886.0323845,True,True,0.122183814087,13525.9135806,lecun_uniform
1712,0.001,relu,1,True,14,1304.37903595,2,80,1712,1e-06,0.001,True,adam,zscore,13,0.187982588651,15718.6383604,168,0.0956084077304,10397.7366701,True,True,0.12075307088,13531.0740024,lecun_uniform
283,0.001,relu,1,True,15,2582.47582507,2,286,283,1e-06,0.001,True,adam,zscore,13,0.188546086664,15694.0687744,168,0.098994867329,10657.1778633,True,True,0.123619608985,13535.7279744,lecun_uniform
